,file,bytes,name,instrument,percussion,note,octave,pitch,length,dynamic,style
6242,oboe/oboe_A4_025_forte_normal.mp3,8046,oboe_A4_025_forte_normal,oboe,False,A,4.0,440.0,025,forte,normal
6243,oboe/oboe_B5_1_piano_normal.mp3,15256,oboe_B5_1_piano_normal,oboe,False,B,5.0,987.77,1,piano,normal
6244,oboe/oboe_B3_05_piano_normal.mp3,12119,oboe_B3_05_piano_normal,oboe,False,B,3.0,246.94,05,piano,normal
6245,oboe/oboe_Cs4_1_forte_normal.mp3,16196,oboe_Cs4_1_forte_normal,oboe,False,C#,4.0,277.18,1,forte,normal
6246,oboe/oboe_Gs4_15_mezzo-forte_normal.mp3,18390,oboe_Gs4_15_mezzo-forte_normal,oboe,False,G#,4.0,415.3,15,mezzo-forte,normal
6247,oboe/oboe_F6_025_piano_normal.mp3,7419,oboe_F6_025_piano_normal,oboe,False,F,6.0,1396.91,025,piano,normal
6248,oboe/oboe_D6_1_piano_normal.mp3,17450,oboe_D6_1_piano_normal,oboe,False,D,6.0,1174.66,1,piano,normal
6249,oboe/oboe_Cs5_05_mezzo-forte_normal.mp3,14315,oboe_Cs5_05_mezzo-forte_normal,oboe,False,C#,5.0,554.37,05,mezzo-forte,normal
6250,oboe/oboe_A5_025_fortissimo_normal.mp3,7732,oboe_A5_025_fortissimo_normal,oboe,False,A,5.0,880.0,025,fortissimo,normal
6251,oboe/oboe_Ds5_1_mezzo-forte_normal.mp3,15256,oboe_Ds5_1_mezzo-forte_normal,oboe,False,D#,5.0,622.25,1,mezzo-forte,normal
6252,oboe/oboe_F4_1_fortissimo_normal.mp3,15569,oboe_F4_1_fortissimo_normal,oboe,False,F,4.0,349.23,1,fortissimo,normal
6253,oboe/oboe_B3_15_mezzo-forte_normal.mp3,20898,oboe_B3_15_mezzo-forte_normal,oboe,False,B,3.0,246.94,15,mezzo-forte,normal
6254,oboe/oboe_E6_1_fortissimo_normal.mp3,15569,oboe_E6_1_fortissimo_normal,oboe,False,E,6.0,1318.51,1,fortissimo,normal
6255,oboe/oboe_E4_15_mezzo-forte_normal.mp3,21212,oboe_E4_15_mezzo-forte_normal,oboe,False,E,4.0,329.63,15,mezzo-forte,normal
6256,oboe/oboe_C5_025_forte_normal.mp3,8359,oboe_C5_025_forte_normal,oboe,False,C,5.0,523.25,025,forte,normal
6257,oboe/oboe_Ds6_1_fortissimo_normal.mp3,14942,oboe_Ds6_1_fortissimo_normal,oboe,False,D#,6.0,1244.51,1,fortissimo,normal
6258,oboe/oboe_E4_phrase_mezzo-forte_tongued-slur.mp3,91742,oboe_E4_phrase_mezzo-forte_tongued-slur,oboe,False,E,4.0,329.63,phrase,mezzo-forte,tongued-slur
6259,oboe/oboe_Fs4_15_piano_normal.mp3,19957,oboe_Fs4_15_piano_normal,oboe,False,F#,4.0,369.99,15,piano,normal
6260,oboe/oboe_Fs6_1_mezzo-forte_normal.mp3,14002,oboe_Fs6_1_mezzo-forte_normal,oboe,False,F#,6.0,1479.98,1,mezzo-forte,normal
6261,oboe/oboe_Gs4_15_fortissimo_normal.mp3,22152,oboe_Gs4_15_fortissimo_normal,oboe,False,G#,4.0,415.3,15,fortissimo,normal
6262,oboe/oboe_D5_1_mezzo-forte_normal.mp3,14315,oboe_D5_1_mezzo-forte_normal,oboe,False,D,5.0,587.33,1,mezzo-forte,normal
6263,oboe/oboe_Fs5_025_mezzo-forte_normal.mp3,6792,oboe_Fs5_025_mezzo-forte_normal,oboe,False,F#,5.0,739.99,025,mezzo-forte,normal
6264,oboe/oboe_D5_1_forte_normal.mp3,15256,oboe_D5_1_forte_normal,oboe,False,D,5.0,587.33,1,forte,normal
6265,oboe/oboe_B5_05_forte_normal.mp3,14942,oboe_B5_05_forte_normal,oboe,False,B,5.0,987.77,05,forte,normal
6266,oboe/oboe_F6_05_piano_normal.mp3,14315,oboe_F6_05_piano_normal,oboe,False,F,6.0,1396.91,05,piano,normal
6267,oboe/oboe_B5_05_fortissimo_normal.mp3,14315,oboe_B5_05_fortissimo_normal,oboe,False,B,5.0,987.77,05,fortissimo,normal
6268,oboe/oboe_B4_phrase_mezzo-forte_tongued-slur.mp3,89861,oboe_B4_phrase_mezzo-forte_tongued-slur,oboe,False,B,4.0,493.88,phrase,mezzo-forte,tongued-slur
6269,oboe/oboe_G4_05_forte_normal.mp3,12121,oboe_G4_05_forte_normal,oboe,False,G,4.0,392.0,05,forte,normal
6270,oboe/oboe_G4_025_forte_normal.mp3,7419,oboe_G4_025_forte_normal,oboe,False,G,4.0,392.0,025,forte,normal
6271,oboe/oboe_G5_15_fortissimo_normal.mp3,21525,oboe_G5_15_fortissimo_normal,oboe,False,G,5.0,783.99,15,fortissimo,normal
6272,oboe/oboe_B4_phrase_mezzo-forte_normal.mp3,108670,oboe_B4_phrase_mezzo-forte_normal,oboe,False,B,4.0,493.88,phrase,mezzo-forte,normal
6273,oboe/oboe_Ds6_05_fortissimo_normal.mp3,12748,oboe_Ds6_05_fortissimo_normal,oboe,False,D#,6.0,1244.51,05,fortissimo,normal
6274,oboe/oboe_B3_1_piano_normal.mp3,15568,oboe_B3_1_piano_normal,oboe,False,B,3.0,246.94,1,piano,normal
6275,oboe/oboe_Ds6_1_forte_normal.mp3,17137,oboe_Ds6_1_forte_normal,oboe,False,D#,6.0,1244.51,1,forte,normal
6276,oboe/oboe_G6_1_mezzo-forte_normal.mp3,16823,oboe_G6_1_mezzo-forte_normal,oboe,False,G,6.0,1567.98,1,mezzo-forte,normal
6277,oboe/oboe_D4_phrase_mezzo-forte_normal.mp3,166661,oboe_D4_phrase_mezzo-forte_normal,oboe,False,D,4.0,293.66,phrase,mezzo-forte,normal
6278,oboe/oboe_C6_1_forte_normal.mp3,14942,oboe_C6_1_forte_normal,oboe,False,C,6.0,1046.5,1,forte,normal
6279,oboe/oboe_B4_05_forte_normal.mp3,13061,oboe_B4_05_forte_normal,oboe,False,B,4.0,493.88,05,forte,normal
6280,oboe/oboe_E5_1_forte_normal.mp3,17137,oboe_E5_1_forte_normal,oboe,False,E,5.0,659.26,1,forte,normal
6281,oboe/oboe_C6_05_piano_normal.mp3,13375,oboe_C6_05_piano_normal,oboe,False,C,6.0,1046.5,05,piano,normal
6282,oboe/oboe_G5_05_forte_normal.mp3,14315,oboe_G5_05_forte_normal,oboe,False,G,5.0,783.99,05,forte,normal
6283,oboe/oboe_Ds4_05_piano_normal.mp3,13374,oboe_Ds4_05_piano_normal,oboe,False,D#,4.0,311.13,05,piano,normal
6284,oboe/oboe_As5_1_fortissimo_normal.mp3,17137,oboe_As5_1_fortissimo_normal,oboe,False,A#,5.0,932.33,1,fortissimo,normal
6285,oboe/oboe_C6_025_fortissimo_normal.mp3,7732,oboe_C6_025_fortissimo_normal,oboe,False,C,6.0,1046.5,025,fortissimo,normal
6286,oboe/oboe_D6_15_fortissimo_normal.mp3,21525,oboe_D6_15_fortissimo_normal,oboe,False,D,6.0,1174.66,15,fortissimo,normal
6287,oboe/oboe_Fs5_15_fortissimo_normal.mp3,23092,oboe_Fs5_15_fortissimo_normal,oboe,False,F#,5.0,739.99,15,fortissimo,normal
6288,oboe/oboe_As3_1_piano_normal.mp3,15568,oboe_As3_1_piano_normal,oboe,False,A#,3.0,233.08,1,piano,normal
6289,oboe/oboe_Fs5_15_piano_normal.mp3,24346,oboe_Fs5_15_piano_normal,oboe,False,F#,5.0,739.99,15,piano,normal
6290,oboe/oboe_G6_05_forte_normal.mp3,14629,oboe_G6_05_forte_normal,oboe,False,G,6.0,1567.98,05,forte,normal
6291,oboe/oboe_Ds4_1_mezzo-forte_normal.mp3,14942,oboe_Ds4_1_mezzo-forte_normal,oboe,False,D#,4.0,311.13,1,mezzo-forte,normal
6292,oboe/oboe_G6_025_mezzo-forte_normal.mp3,7419,oboe_G6_025_mezzo-forte_normal,oboe,False,G,6.0,1567.98,025,mezzo-forte,normal
